cd_pleito,nu_processo_sei,nm_pleito,sg_pleito,nm_proponente,de_tipo_operacao,de_fase,de_fonte,sg_fonte,nm_moeda,vl_financiamento_dolar,vl_contrapartida_dolar,de_esfera,nm_regiao,nm_uf,sg_uf,dt_ultimo_recebimento,dt_primeira_cofiex,dt_validade_recomendacao,dt_reuniao_negociacao,dt_publicacao_dou,dt_assinatura,dt_ultimo_desembolso_original,dt_ultimo_desembolso_vigente,nu_operacao,de_tipo_operacao_padronizado,de_fase_padronizado,de_esfera_padronizado,nm_regiao_padronizado,sg_uf_padronizado,sg_fonte_padronizado,flag_sem_fonte,flag_sem_financiamento,flag_sem_contrapartida,flag_sem_primeira_cofiex,flag_sem_assinatura,dt_ultimo_recebimento_original,dt_primeira_cofiex_original,dt_validade_recomendacao_original,dt_reuniao_negociacao_original,dt_publicacao_dou_original,dt_assinatura_original,dt_ultimo_desembolso_original_original,dt_ultimo_desembolso_vigente_original,flag_data_extrema,flag_financiamento_nulo_zero,flag_contrapartida_maior_financiamento,flag_outlier_financeiro,nm_moeda_padronizado,de_fonte_padronizado,flag_recebimento_placeholder,flag_data_sentinela,ano_recebimento,ano_primeira_cofiex,ano_assinatura,valor_total_dolar,percentual_contrapartida,prazo_recebimento_cofiex,prazo_cofiex_assinatura,prazo_assinatura_desembolso,flag_valor_negativo,flag_financiamento_zero,flag_contrapartida_zero,flag_cronologia_invalida,flag_cd_pleito_repetido,qtd_ocorrencias_cd_pleito,flag_nu_operacao_repetida
97,,Projeto de Reestruturação Organizacional,PRO,Eletrobras Furnas,Doações,Finalizada,Banco Interamericano de Desenvolvimento - BID/Institutional Capacity Strengthening Thematic Fund),BID/ICSF,Dólar,1000000.0,2000000.0,Federal,Sudeste,Rio de Janeiro,RJ,2011-10-28,,,,,2012-08-06,2013-07-04,2013-07-04,ATN/FI-13220-BR,Doações,Finalizada,Federal,Sudeste,RJ,BID/ICSTF,False,False,False,True,False,2011-10-28,,,,,2012-08-06,2013-07-04,2013-07-04,False,False,True,False,Dólar,Banco Interamericano de Desenvolvimento - BID/Institutional Capacity Strengthening Thematic Fund),False,False,2011.0,,2012.0,3000000.0,0.6666666666666666,,,332.0,False,False,False,False,False,1,False
114,03400.000090/2013-47,Programa de Fortalecimento das Redes de Inclusão Social e de Atenção à Saúde - PROREDES,PROREDES,Estado de Sergipe,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,100000000.0,40000000.0,Estadual,Nordeste,Sergipe,SE,2024-09-16,2012-10-05,2015-10-17,2014-06-05,2012-10-17,,,,3246/OC-BR,Operação de crédito externo,Arquivado,Estadual,Nordeste,SE,BID,False,False,False,False,True,2024-09-16,2012-10-05,2015-10-17,2014-06-05,2012-10-17,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2024.0,2012.0,,140000000.0,0.2857142857142857,-4364.0,,,False,False,False,True,False,1,False
116,03400.001343/2012-19,Programa Integrado de Investimentos para Revitalização e Ampliação da Infraestrutura Urbana de Canoas - Canoas para Todos.,Canoas para Todos,Município de Canoas - RS,Operação de crédito externo,Repagamento,Corporação Andina de Fomento - CAF,CAF,Dólar,50000000.0,50000000.0,Municipal,Sul,Rio Grande do Sul,RS,2012-09-13,2012-12-14,2015-01-04,2014-01-22,2013-01-04,2014-06-24,2017-06-24,2017-06-24,CFX2183,Operação de crédito externo,Repagamento,Municipal,Sul,RS,CAF,False,False,False,False,False,2012-09-13,2012-12-14,2015-01-04,2014-01-22,2013-01-04,2014-06-24,2017-06-24,2017-06-24,False,False,False,False,Dólar,Corporação Andina de Fomento - CAF,False,False,2012.0,2012.0,2014.0,100000000.0,0.5,92.0,557.0,1096.0,False,False,False,False,False,1,False
120,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado do Rio Grande do Sul - II,PROCONFIS/RS II,Estado do Rio Grande do Sul,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,200000000.0,,Estadual,Sul,Rio Grande do Sul,RS,2012-09-14,2013-10-04,2014-10-17,2013-11-13,2012-10-17,2014-05-29,2016-05-29,2016-05-29,3138,Operação de crédito externo,Repagamento,Estadual,Sul,RS,BID,False,False,True,False,False,2012-09-14,2013-10-04,2014-10-17,2013-11-13,2012-10-17,2014-05-29,2016-05-29,2016-05-29,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2013.0,2014.0,200000000.0,0.0,385.0,237.0,731.0,False,False,False,False,True,2,False
120,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado do Rio Grande do Sul - II,PROCONFIS/RS II,Estado do Rio Grande do Sul,Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,280000000.0,,Estadual,Sul,Rio Grande do Sul,RS,2012-09-14,2013-10-04,2014-10-17,2014-04-16,2012-10-17,2014-08-20,2015-12-31,2015-12-31,8379,Operação de crédito externo,Repagamento,Estadual,Sul,RS,BIRD,False,False,True,False,False,2012-09-14,2013-10-04,2014-10-17,2014-04-16,2012-10-17,2014-08-20,2015-12-31,2015-12-31,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,2012.0,2013.0,2014.0,280000000.0,0.0,385.0,320.0,498.0,False,False,False,False,True,2,False
121,,Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado de Alagoas,PROCONFIS/AL,Estado de Alagoas,Operação de crédito externo,Repagamento,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,250000000.0,,Estadual,Nordeste,Alagoas,AL,2012-08-22,2012-10-05,2014-10-17,2013-10-10,2012-10-17,2013-12-23,2015-12-23,2015-12-23,3061/OC-BR,Operação de crédito externo,Repagamento,Estadual,Nordeste,AL,BID,False,False,True,False,False,2012-08-22,2012-10-05,2014-10-17,2013-10-10,2012-10-17,2013-12-23,2015-12-23,2015-12-23,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,2012.0,2013.0,250000000.0,0.0,44.0,444.0,730.0,False,False,False,False,False,1,False
122,,Refinanciamento do Resíduo da Dívida com a União - Lei 9496/97,,Estado de Santa Catarina,Operação de crédito externo,Repagamento,Bank of America Merrill Lynch Banco Múltiplo S.A.,Bank of America,Dólar,726441565.95,,Estadual,Sul,Santa Catarina,SC,2012-09-18,2012-10-05,,,,2012-12-27,2013-11-27,2013-11-27,077,Operação de crédito externo,Repagamento,Estadual,Sul,SC,BANK OF AMERICA,False,False,True,False,False,2012-09-18,2012-10-05,,,,2012-12-27,2013-11-27,2013-11-27,False,False,False,False,Dólar,Bank of America Merrill Lynch Banco Múltiplo S.A.,False,False,2012.0,2012.0,2012.0,726441565.95,0.0,17.0,83.0,335.0,False,False,False,False,False,1,False
123,03400.001148/2012-99,Projeto de Desenvolvimento Rural Sustentável do Estado da Bahia,PDRS,Estado da Bahia,Operação de crédito externo,Repagamento,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,BIRD,Dólar,150000000.0,110000000.0,Estadual,Nordeste,Bahia,BA,2012-08-22,2012-10-05,2014-10-17,2014-06-03,2012-10-17,2014-08-29,2021-03-31,2022-12-30,8415,Operação de crédito externo,Repagamento,Estadual,Nordeste,BA,BIRD,False,False,False,False,False,2012-08-22,2012-10-05,2014-10-17,2014-06-03,2012-10-17,2014-08-29,2021-03-31,2022-12-30,False,False,False,False,Dólar,Banco Internacional para Reconstrução e Desenvolvimento - BIRD,False,False,2012.0,2012.0,2014.0,260000000.0,0.4230769230769231,44.0,693.0,3045.0,False,False,False,False,False,1,False
124,,Plano de Ação Goiânia Sustentável,ICES Goiania,Município de Goiânia - GO,Doações,Finalizada,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,150000.0,40000.0,Municipal,Centro-Oeste,Goiás,GO,2012-12-07,,2015-04-04,,2013-04-04,2013-09-17,2015-06-17,2015-06-17,BR-T1281,Doações,Finalizada,Municipal,Centro-Oeste,GO,BID,False,False,False,True,False,2012-12-07,,2015-04-04,,2013-04-04,2013-09-17,2015-06-17,2015-06-17,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2012.0,,2013.0,190000.0,0.2105263157894736,,,638.0,False,False,False,False,False,1,False
12714,03400.000545/2008-67,Programa de Desenvolvimento Regional do Turismo no Espírito Santo,PRODETUR NACIONAL - ES,Estado do Espírito Santo,Operação de crédito externo,Arquivado,Banco Interamericano de Desenvolvimento - BID,BID,Dólar,48000000.0,32000000.0,Estadual,Sudeste,Espírito Santo,ES,2008-04-24,,2014-07-11,2014-06-10,2008-07-11,,,,3257/OC-BR,Operação de crédito externo,Arquivado,Estadual,Sudeste,ES,BID,False,False,False,True,True,2008-04-24,,2014-07-11,2014-06-10,2008-07-11,,,,False,False,False,False,Dólar,Banco Interamericano de Desenvolvimento - BID,False,False,2008.0,,,80000000.0,0.4,,,,False,False,False,False,False,1,False
