coluna,tipo,nulos,pct_nulos,unicos,pct_unicos
dt_reuniao_negociacao,datetime64[ns],2630,74.13,830,23.39
dt_validade_recomendacao,datetime64[ns],2555,72.01,289,8.15
dt_publicacao_dou,datetime64[ns],2456,69.22,219,6.17
nu_processo_sei,object,2454,69.17,1027,28.95
dt_ultimo_desembolso_original,datetime64[ns],2315,65.25,800,22.55
nu_operacao,object,2146,60.48,1337,37.68
dt_ultimo_desembolso_vigente,datetime64[ns],2139,60.29,893,25.17
dt_assinatura,datetime64[ns],2132,60.09,1106,31.17
dt_primeira_cofiex,datetime64[ns],1630,45.94,394,11.1
vl_contrapartida_dolar,float64,1059,29.85,1262,35.57
dt_ultimo_recebimento,datetime64[ns],788,22.21,1716,48.37
sg_pleito,object,393,11.08,2918,82.24
de_esfera,object,289,8.15,4,0.11
sg_fonte,object,284,8.0,112,3.16
vl_financiamento_dolar,float64,283,7.98,1515,42.7
nm_moeda,object,283,7.98,7,0.2
de_fonte,object,283,7.98,115,3.24
nm_uf,object,26,0.73,28,0.79
sg_uf,object,26,0.73,28,0.79
nm_pleito,object,1,0.03,3238,91.26
nm_regiao,object,0,0.0,6,0.17
de_fase,object,0,0.0,8,0.23
de_tipo_operacao,object,0,0.0,7,0.2
nm_proponente,object,0,0.0,487,13.73
cd_pleito,object,0,0.0,3364,94.81
