cdCartaConsulta,nmProjeto,sgProjeto,nmSetor,nmSujeito,Regiao,nmUnidadeFederal,nmAbrangenciaNacional,TipoFinanciamento,sgFonte,VlDolar,CpVlDolar,sgMoeda,deFase,dtRecebimento,dtValidadeRecomendacao,dtReuniaoNegociacao,dtAprovDiretoria,dtAprovacaoSenado,nuResolucaoSenado,dtAssinatura,nuoperacao,dtPrimeiraAmortizacao,dtUltimaAmortizacao,dtUltimoDesembolsoOriginal,dtUltimoDesembolsoVigente,ano_recebimento
60371,PROJETO ALFA/PROJECT ALFA,,,INSTITUTO INTERNACIONAL PARA SUSTENTABILIDADE - IIS,SUDESTE,Estado do Rio de Janeiro,Federal,OUTROS,Ch_Inst,750000000.0,200000000.0,US$,Arquivado,2017-07-03 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,2017
60371,PROJETO ALFA/PROJECT ALFA,,,INSTITUTO INTERNACIONAL PARA SUSTENTABILIDADE - IIS,SUDESTE,Estado do Rio de Janeiro,Federal,OUTROS,Ch_Inst,750000000.0,250000000.0,US$,Arquivado,2017-07-03 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,2017
12761,PROGRAMA DE DESENVOLVIMENTO DO TURISMO NACIONAL - PRODETUR NACIONAL GOIÂNIA,PRODETUR NACIONAL GOIÂNIA,COMÉRCIO E SERVIÇOS (TURISMO),AAA,CENTRO OESTE,Distrito Federal,Municipal,OPERAÇÃO DE CRÉDITO EXTERNO,BID,25000000.0,25000000.0,US$,Arquivado,2008-08-14 00:00:00,2013-07-27 00:00:00,,,,,,,,,,,2008
59718,APOIO À EXECUÇÃO DA ESTRATÉGIA NACIONAL DE SIMPLIFICAÇÃO DO COMÉRCIO EXTERIOR,DOAÇÃO PRODEV  ABDI,FORTALECIMENTO INSTITUCIONAL,AGÊNCIA BRASILEIRA DE DESENVOLVIMENTO INDUSTRIAL - ABDI,NACIONAL,Distrito Federal,Federal,DOAÇÕES,BID/PRODEV,495500.0,0.0,US$,Arquivado,2009-09-04 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,2009
61246,PROGRAMA NOVO SEGURO DE CRÉDITO À EXPORTAÇÃO (NSCE) DA ABGF,NSCE,FORTALECIMENTO INSTITUCIONAL,AGÊNCIA BRASILEIRA GESTORA DE FUNDOS GARANTIDORES E GARANTIAS S.A.,NACIONAL,Distrito Federal,Federal,OPERAÇÃO DE CRÉDITO EXTERNO,BID,300000000.0,0.0,US$,Em preparação,2024-11-05 00:00:00,2026-12-18 00:00:00,,,,,,,,,,,2024
58612,PROJETO PILOTO DE ASSENTAMENTO PRIVADO,ASSENTAMENTO PRIVADO,FORTALECIMENTO INSTITUCIONAL,AGÊNCIA DE DESENVOLVIMENTO DO MATO GROSSO DO SUL,CENTRO OESTE,Estado do Mato Grosso do Sul,Estadual,DOAÇÕES,BID/FUMIN,690000.0,690000.0,US$,Arquivado,1999-03-02 00:00:00,1900-01-01 00:00:00,,,,,,,,,,,1999
60890,PROGRAMA DE FINANCIAMENTO PARA A RECUPERAÇÃO PRODUTIVA E SUSTENTÁVEL DAS MPMES EM SANTA CATARINA,Financiamento a MPMEs em Santa Catarina,CRÉDITO,AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S/A - BADESC,SUL,Estado de Santa Catarina,Estadual,OPERAÇÃO DE CRÉDITO EXTERNO,BID,50000000.0,0.0,US$,Aguardando Assinatura,2022-08-16 00:00:00,2024-11-11 00:00:00,2023-10-16,,,,,,,,,,2022
60672,PROGRAMA DESENVOLVE SP - INFRAESTRUTURAS SUSTENTÁVEIS,Desenvolve SP - Infra. Sustentáveis,CRÉDITO,AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO - DESENVOLVE SP,SUDESTE,Estado de São Paulo,Estadual,OPERAÇÃO DE CRÉDITO EXTERNO,BID,110000000.0,0.0,US$,Aguardando Assinatura,2021-09-27 00:00:00,2023-11-08 00:00:00,2022-09-16,,,,,,,,,,2021
60672,PROGRAMA DESENVOLVE SP - INFRAESTRUTURAS SUSTENTÁVEIS,Desenvolve SP - Infra. Sustentáveis,CRÉDITO,AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO - DESENVOLVE SP,SUDESTE,Estado de São Paulo,Estadual,OPERAÇÃO DE CRÉDITO EXTERNO,NDB,90000000.0,0.0,US$,Aguardando Assinatura,2021-09-27 00:00:00,2022-02-06 00:00:00,2020-12-10,2022-03-22,,,,,,,,,2021
60743,NOVOS INSTRUMENTOS DE FINANCIAMENTO DE INOVAÇÃO PARA O ESTADO DE SÃO PAULO,Inova SP,CRÉDITO,AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO - DESENVOLVE SP,SUDESTE,Estado de São Paulo,Estadual,OPERAÇÃO DE CRÉDITO EXTERNO,BID,195000000.0,0.0,US$,Aguardando Assinatura,2020-11-26 00:00:00,2022-12-30 00:00:00,2021-11-22,,,,,,,,,,2020
